"ID";"Woningtype";"RegioS";"Perioden";"Totaal_1";"k_50000Tot150000Euro_2";"k_150000Tot200000Euro_3";"k_200000Tot250000Euro_4";"k_250000Tot350000Euro_5";"k_350000Tot500000Euro_6";"k_500000Tot5000000Euro_7";"VraagprijsOnbekend_8";"Totaal_9";"k_50Tot75M_10";"k_75Tot100M_11";"k_100Tot150M_12";"k_150Tot250M_13";"k_250Tot500M_14";"GebruiksoppervlakteOnbekend_15";"Totaal_16";"k_50000Tot150000Euro_17";"k_150000Tot200000Euro_18";"k_200000Tot250000Euro_19";"k_250000Tot350000Euro_20";"k_350000Tot500000Euro_21";"k_500000Tot5000000Euro_22";"Totaal_23";"k_50Tot75M_24";"k_75Tot100M_25";"k_100Tot150M_26";"k_150Tot250M_27";"k_250Tot500M_28";"GemVraagprijsPerM_29";"NieuwInVerkoopGemVraagprijsPerM_30";"UitVerkoop_31";"GemiddeldeAanbodtijd_32";"GemVraagprijsPerM_33"
"0";"A   ";"NL01  ";"2013KW01";"210000";"35800";"48400";"34200";"41600";"29800";"22200";"4500";"210000";"23700";"41700";"82900";"45600";"11100";"11500";"18";"16";"16";"17";"18";"20";"19";"297000";"158000";"193000";"260000";"428000";"686000";"2230";"2270";"35600";"12";"2220"
"1";"A   ";"NL01  ";"2013KW02";"210000";"36500";"47900";"33600";"41100";"29600";"22100";"4300";"210000";"23900";"41500";"82600";"46000";"11300";"9900";"18";"17";"17";"18";"19";"20";"20";"296000";"157000";"191000";"259000";"426000";"684000";"2220";"2310";"48100";"11";"2130"
"2";"A   ";"NL01  ";"2013KW03";"210000";"36700";"46800";"32400";"40000";"28900";"21700";"4800";"210000";"23600";"40200";"79800";"45500";"11400";"10700";"18";"17";"17";"18";"19";"20";"20";"296000";"155000";"190000";"258000";"423000";"679000";"2210";"2310";"60300";"11";"2120"
"3";"A   ";"NL01  ";"2013KW04";"200000";"34700";"43600";"30000";"37400";"27200";"20100";"3000";"200000";"22100";"37100";"73400";"42600";"10900";"10100";"19";"17";"18";"18";"19";"21";"20";"295000";"156000";"190000";"257000";"420000";"669000";"2200";"2310";"60000";"13";"2140"
"4";"A   ";"NL01  ";"2014KW01";"200000";"35700";"43500";"29500";"36800";"26600";"19300";"2800";"200000";"21800";"36900";"72700";"42400";"10800";"9800";"19";"17";"18";"18";"19";"21";"20";"292000";"153000";"188000";"255000";"415000";"662000";"2170";"2250";"49600";"13";"2150"
"5";"A   ";"NL01  ";"2014KW02";"200000";"37400";"44700";"30500";"37800";"27800";"20300";"2900";"200000";"22700";"38100";"75600";"44200";"11300";"9400";"18";"17";"17";"17";"19";"20";"19";"293000";"152000";"187000";"254000";"417000";"668000";"2170";"2280";"42600";"13";"2100"
"6";"A   ";"NL01  ";"2014KW03";"190000";"35500";"41500";"28100";"35100";"25800";"19200";"3400";"190000";"21200";"35200";"69700";"41600";"11100";"9800";"19";"18";"18";"18";"19";"21";"20";"294000";"150000";"186000";"254000";"415000";"662000";"2160";"2270";"56800";"12";"2090"
"7";"A   ";"NL01  ";"2014KW04";"180000";"34200";"39700";"27000";"33700";"24600";"18300";"3100";"180000";"20400";"33700";"67000";"40200";"10700";"8300";"19";"19";"19";"18";"20";"22";"21";"293000";"150000";"186000";"252000";"413000";"664000";"2150";"2250";"50800";"12";"2130"
"8";"A   ";"NL01  ";"2015KW01";"180000";"34800";"39100";"26400";"33200";"24500";"18300";"3100";"180000";"19900";"33000";"66000";"40000";"11000";"9500";"18";"18";"18";"17";"19";"21";"20";"292000";"147000";"184000";"251000";"413000";"654000";"2140";"2260";"58100";"12";"2080"
"9";"A   ";"NL01  ";"2015KW02";"180000";"34800";"38100";"25900";"32900";"24800";"18900";"2800";"180000";"19600";"32400";"65000";"40400";"11300";"9500";"18";"18";"17";"17";"18";"20";"19";"295000";"147000";"184000";"251000";"415000";"659000";"2140";"2300";"58500";"11";"2100"
