"ID";"Woningtype";"RegioS";"Perioden";"k_50000Tot150000Euro_2";"k_150000Tot200000Euro_3";"k_200000Tot250000Euro_4";"k_250000Tot350000Euro_5";"k_350000Tot500000Euro_6";"k_500000Tot5000000Euro_7"
"16";"A   ";"LD01  ";"2013KW01";"6800";"6000";"3600";"4700";"2800";"1300"
"19";"A   ";"LD01  ";"2013KW04";"6300";"5100";"3200";"4200";"2300";"1200"
"28";"A   ";"LD01  ";"2016KW01";"5600";"4000";"2500";"3300";"2000";"1000"
"31";"A   ";"LD01  ";"2016KW04";"4900";"3600";"2100";"2900";"1800";"1000"
"48";"A   ";"LD03  ";"2013KW01";"16000";"20500";"15100";"17500";"12400";"11000"
"51";"A   ";"LD03  ";"2013KW04";"15900";"19100";"13500";"15700";"11300";"9900"
"60";"A   ";"LD03  ";"2016KW01";"12100";"12100";"8800";"10500";"8100";"8300"
"63";"A   ";"LD03  ";"2016KW04";"8000";"7700";"5800";"8000";"6400";"7900"
"80";"A   ";"PV20  ";"2013KW01";"2800";"1900";"1000";"1200";"600";"200"
"83";"A   ";"PV20  ";"2013KW04";"2700";"1800";"900";"1200";"500";"200"
"92";"A   ";"PV20  ";"2016KW01";"2200";"1200";"700";"900";"400";"200"
"95";"A   ";"PV20  ";"2016KW04";"2100";"1200";"700";"800";"400";"200"
"192";"A   ";"PV27  ";"2013KW01";"3600";"6900";"5000";"6100";"4600";"4300"
"195";"A   ";"PV27  ";"2013KW04";"3600";"6400";"4600";"5800";"4200";"4000"
"204";"A   ";"PV27  ";"2016KW01";"2000";"3300";"2600";"3300";"2700";"2800"
"207";"A   ";"PV27  ";"2016KW04";"1200";"1900";"1600";"2400";"2100";"2700"
"288";"B   ";"LD01  ";"2013KW01";"4900";"5300";"3300";"4300";"2600";"1200"
"291";"B   ";"LD01  ";"2013KW04";"4700";"4500";"2900";"3900";"2200";"1100"
"300";"B   ";"LD01  ";"2016KW01";"4400";"3700";"2300";"3100";"1900";"900"
"303";"B   ";"LD01  ";"2016KW04";"3900";"3400";"2000";"2700";"1700";"900"
"320";"B   ";"LD03  ";"2013KW01";"3200";"9400";"9900";"12700";"9900";"9400"
"323";"B   ";"LD03  ";"2013KW04";"3000";"8600";"8700";"11300";"9000";"8300"
"332";"B   ";"LD03  ";"2016KW01";"2500";"6200";"6300";"8200";"6700";"7100"
"335";"B   ";"LD03  ";"2016KW04";"2000";"4300";"4200";"6300";"5200";"6700"
"352";"B   ";"PV20  ";"2013KW01";"1900";"1600";"900";"1100";"600";"200"
"355";"B   ";"PV20  ";"2013KW04";"1900";"1500";"800";"1100";"500";"200"
"364";"B   ";"PV20  ";"2016KW01";"1700";"1100";"600";"800";"400";"200"
"367";"B   ";"PV20  ";"2016KW04";"1700";"1100";"600";"700";"400";"200"
"464";"B   ";"PV27  ";"2013KW01";"900";"3000";"3000";"4100";"3400";"3400"
"467";"B   ";"PV27  ";"2013KW04";"800";"2700";"2700";"3900";"3100";"3100"
"476";"B   ";"PV27  ";"2016KW01";"500";"1700";"1700";"2400";"2100";"2200"
"479";"B   ";"PV27  ";"2016KW04";"400";"1100";"1100";"1800";"1600";"2100"
"560";"C   ";"LD01  ";"2013KW01";"1900";"700";"300";"400";"200";"100"
"563";"C   ";"LD01  ";"2013KW04";"1600";"600";"300";"300";"100";"100"
"572";"C   ";"LD01  ";"2016KW01";"1200";"300";"200";"200";"100";"100"
"575";"C   ";"LD01  ";"2016KW04";"1000";"200";"100";"200";"100";"100"
"592";"C   ";"LD03  ";"2013KW01";"12800";"11100";"5200";"4800";"2500";"1600"
"595";"C   ";"LD03  ";"2013KW04";"12900";"10500";"4800";"4400";"2300";"1600"
"604";"C   ";"LD03  ";"2016KW01";"9600";"5900";"2500";"2300";"1400";"1200"
"607";"C   ";"LD03  ";"2016KW04";"6000";"3400";"1600";"1700";"1200";"1200"
"624";"C   ";"PV20  ";"2013KW01";"900";"300";"100";"100";;
"627";"C   ";"PV20  ";"2013KW04";"800";"300";"100";"100";;
"636";"C   ";"PV20  ";"2016KW01";"500";"100";"100";"100";;
"639";"C   ";"PV20  ";"2016KW04";"400";"100";"100";"100";;
"736";"C   ";"PV27  ";"2013KW01";"2700";"3900";"2000";"2000";"1200";"900"
"739";"C   ";"PV27  ";"2013KW04";"2800";"3700";"1900";"1900";"1100";"900"
"748";"C   ";"PV27  ";"2016KW01";"1500";"1600";"900";"900";"600";"600"
"751";"C   ";"PV27  ";"2016KW04";"800";"800";"500";"600";"500";"600"
